id;ideology;ideology_source;ideology_year
0;unknown;missing_country_ideology;
1;demokracie;manual_dataset;2024
2;demokracie;manual_dataset;2024
3;demokracie;manual_dataset;2024
4;demokracie;manual_dataset;2024
5;demokracie;manual_dataset;2024
6;demokracie;manual_dataset;2024
7;demokracie;manual_dataset;2024
8;demokracie;manual_dataset;2024
9;demokracie;manual_dataset;2024
10;demokracie;manual_dataset;2024
11;demokracie;manual_dataset;2024
12;kralovstvi;manual_dataset;2024
13;demokracie;manual_dataset;2024
14;demokracie;manual_dataset;2024
15;demokracie;manual_dataset;2024
16;demokracie;manual_dataset;2024
17;demokracie;manual_dataset;2024
18;demokracie;manual_dataset;2024
19;demokracie;manual_dataset;2024
20;demokracie;manual_dataset;2024
21;kralovstvi;manual_dataset;2024
22;kralovstvi;manual_dataset;2024
23;kralovstvi;manual_dataset;2024
24;kralovstvi;manual_dataset;2024
25;kralovstvi;manual_dataset;2024
26;kralovstvi;manual_dataset;2024
27;kralovstvi;manual_dataset;2024
28;kralovstvi;manual_dataset;2024
29;kralovstvi;manual_dataset;2024
30;kralovstvi;manual_dataset;2024
31;demokracie;manual_dataset;2024
32;demokracie;manual_dataset;2024
33;demokracie;manual_dataset;2024
34;demokracie;manual_dataset;2024
35;demokracie;manual_dataset;2024
36;demokracie;manual_dataset;2024
37;demokracie;manual_dataset;2024
38;demokracie;manual_dataset;2024
39;demokracie;manual_dataset;2024
40;demokracie;manual_dataset;2024
41;demokracie;manual_dataset;2024
42;demokracie;manual_dataset;2024
43;demokracie;manual_dataset;2024
44;demokracie;manual_dataset;2024
45;demokracie;manual_dataset;2024
46;demokracie;manual_dataset;2024
47;demokracie;manual_dataset;2024
48;demokracie;manual_dataset;2024
49;demokracie;manual_dataset;2024
50;demokracie;manual_dataset;2024
51;demokracie;manual_dataset;2024
52;demokracie;manual_dataset;2024
53;demokracie;manual_dataset;2024
54;demokracie;manual_dataset;2024
55;demokracie;manual_dataset;2024
56;demokracie;manual_dataset;2024
57;demokracie;manual_dataset;2024
58;demokracie;manual_dataset;2024
59;demokracie;manual_dataset;2024
60;demokracie;manual_dataset;2024
61;demokracie;manual_dataset;2024
62;demokracie;manual_dataset;2024
63;demokracie;manual_dataset;2024
64;demokracie;manual_dataset;2024
65;demokracie;manual_dataset;2024
66;demokracie;manual_dataset;2024
67;demokracie;manual_dataset;2024
68;demokracie;manual_dataset;2024
69;demokracie;manual_dataset;2024
70;demokracie;manual_dataset;2024
71;demokracie;manual_dataset;2024
72;demokracie;manual_dataset;2024
73;autokracie;manual_dataset;2024
74;autokracie;manual_dataset;2024
75;autokracie;manual_dataset;2024
76;autokracie;manual_dataset;2024
77;autokracie;manual_dataset;2024
78;autokracie;manual_dataset;2024
79;demokracie;manual_dataset;2024
80;demokracie;manual_dataset;2024
81;demokracie;manual_dataset;2024
82;demokracie;manual_dataset;2024
83;demokracie;manual_dataset;2024
84;demokracie;manual_dataset;2024
85;demokracie;manual_dataset;2024
86;demokracie;manual_dataset;2024
87;demokracie;manual_dataset;2024
88;demokracie;manual_dataset;2024
89;demokracie;manual_dataset;2024
90;demokracie;manual_dataset;2024
91;demokracie;manual_dataset;2024
92;demokracie;manual_dataset;2024
93;demokracie;manual_dataset;2024
94;demokracie;manual_dataset;2024
95;demokracie;manual_dataset;2024
96;demokracie;manual_dataset;2024
97;demokracie;manual_dataset;2024
98;demokracie;manual_dataset;2024
99;demokracie;manual_dataset;2024
100;demokracie;manual_dataset;2024
101;demokracie;manual_dataset;2024
102;demokracie;manual_dataset;2024
103;demokracie;manual_dataset;2024
104;demokracie;manual_dataset;2024
105;demokracie;manual_dataset;2024
106;demokracie;manual_dataset;2024
107;demokracie;manual_dataset;2024
108;demokracie;manual_dataset;2024
109;demokracie;manual_dataset;2024
110;demokracie;manual_dataset;2024
111;demokracie;manual_dataset;2024
112;demokracie;manual_dataset;2024
113;demokracie;manual_dataset;2024
114;demokracie;manual_dataset;2024
115;demokracie;manual_dataset;2024
116;demokracie;manual_dataset;2024
117;demokracie;manual_dataset;2024
118;demokracie;manual_dataset;2024
119;demokracie;manual_dataset;2024
120;demokracie;manual_dataset;2024
121;demokracie;manual_dataset;2024
122;kralovstvi;manual_dataset;2024
123;kralovstvi;manual_dataset;2024
124;kralovstvi;manual_dataset;2024
125;kralovstvi;manual_dataset;2024
126;kralovstvi;manual_dataset;2024
127;kralovstvi;manual_dataset;2024
128;kralovstvi;manual_dataset;2024
129;kralovstvi;manual_dataset;2024
130;kralovstvi;manual_dataset;2024
131;kralovstvi;manual_dataset;2024
132;kralovstvi;manual_dataset;2024
133;kralovstvi;manual_dataset;2024
