ALB;demokracie;0;2024;32.41
AUT;demokracie;0;2024;604.20
AZE;autokracie;0;2024;80.02
AND;kralovstvi;0;2024;4.72
ARM;demokracie;0;2024;29.08
BEL;kralovstvi;0;2024;761.17
BGR;demokracie;0;2024;142.20
BIH;demokracie;0;2024;36.24
BLR;autokracie;0;2024;90.56
CHE;demokracie;0;2024;1074.59
CYP;demokracie;0;2024;43.16
CZE;demokracie;0;2024;417.13
DEU;demokracie;0;2024;5328.18
DNK;kralovstvi;0;2024;500.05
ESP;kralovstvi;0;2024;2041.83
EST;demokracie;0;2024;51.04
FIN;demokracie;0;2024;335.53
FRA;demokracie;0;2024;3558.56
GBR;kralovstvi;0;2024;4225.64
GEO;demokracie;0;2024;40.18
GRC;demokracie;0;2024;304.84
HRV;demokracie;0;2024;113.13
HUN;demokracie;0;2024;269.92
IRL;demokracie;0;2024;750.11
ISL;demokracie;0;2024;43.40
ITA;demokracie;0;2024;2701.54
KOS;demokracie;0;2024;10.44
LIE;kralovstvi;0;2024;7.36
LTU;demokracie;0;2024;104.65
LUX;kralovstvi;0;2024;107.76
LVA;demokracie;0;2024;52.25
MDA;demokracie;0;2024;18.33
MKD;demokracie;0;2024;15.48
MLT;demokracie;0;2024;22.75
MNE;demokracie;0;2024;8.01
NLD;kralovstvi;0;2024;1413.08
NOR;kralovstvi;0;2024;547.69
POL;demokracie;0;2024;1109.96
PRT;demokracie;0;2024;364.53
ROU;demokracie;0;2024;444.81
RUS;autokracie;0;2024;2509.42
SMR;demokracie;0;2024;2.39
SRB;demokracie;0;2024;112.11
SVK;demokracie;0;2024;167.73
SVN;demokracie;0;2024;85.74
SWE;kralovstvi;0;2024;711.50
TUR;autokracie;0;2024;1576.11
UKR;demokracie;0;2024;224.26
