ALB;2790000;2024;INSTAT
AUT;9150000;2024;Statistik Austria
AZE;10180000;2024;UN Data
AND;85000;2024;World Bank
ARM;2970000;2024;World Bank
BEL;11820000;2024;Statbel
BGR;6440000;2024;NSI
BIH;3210000;2024;UN Data
BLR;9150000;2024;Belstat
CHE;8960000;2024;FSO
CYP;1260000;2024;Eurostat
CZE;10900000;2024;ČSÚ
DEU;84600000;2024;Destatis
DNK;5960000;2024;Statistics Denmark
ESP;48600000;2024;INE
EST;1370000;2024;Statistics Estonia
FIN;5610000;2024;Statistics Finland
FRA;68400000;2024;INSEE
GBR;68300000;2024;ONS
GEO;3730000;2024;Geostat
GRC;10400000;2024;ELSTAT
HRV;3850000;2024;Eurostat
HUN;9580000;2024;KSH
IRL;5340000;2024;CSO
ISL;380000;2024;Statistics Iceland
ITA;58900000;2024;ISTAT
KOS;1760000;2024;ASK
LIE;40000;2024;World Bank
LTU;2880000;2024;State Data Agency
LUX;670000;2024;STATEC
LVA;1870000;2024;CSB
MDA;2420000;2024;NBS
MKD;1830000;2024;State Statistical Office
MLT;560000;2024;NSO
MNE;616000;2024;MONSTAT
NLD;17900000;2024;CBS
NOR;5550000;2024;SSB
POL;36600000;2024;GUS
PRT;10600000;2024;INE
ROU;19000000;2024;INS
RUS;144000000;2024;Rosstat
SMR;34000;2024;World Bank
SRB;6600000;2024;RZS
SVK;5430000;2024;ŠÚ SR
SVN;2120000;2024;SURS
SWE;10550000;2024;SCB
TUR;85300000;2024;TÜİK
UKR;37000000;2024;UN Estimate
