ALB;0;0;2024;32.41
AUT;0;0;2024;604.20
AZE;0;0;2024;80.02
AND;0;0;2024;4.72
ARM;0;0;2024;29.08
BEL;0;0;2024;761.17
BGR;0;0;2024;142.20
BIH;0;0;2024;36.24
BLR;0;0;2024;90.56
CHE;0;0;2024;1074.59
CYP;0;0;2024;43.16
CZE;0;0;2024;417.13
DEU;0;0;2024;5328.18
DNK;0;0;2024;500.05
ESP;0;0;2024;2041.83
EST;0;0;2024;51.04
FIN;0;0;2024;335.53
FRA;0;0;2024;3558.56
GBR;0;0;2024;4225.64
GEO;0;0;2024;40.18
GRC;0;0;2024;304.84
HRV;0;0;2024;113.13
HUN;0;0;2024;269.92
IRL;0;0;2024;750.11
ISL;0;0;2024;43.40
ITA;0;0;2024;2701.54
KOS;0;0;2024;10.44
LIE;0;0;2024;7.36
LTU;0;0;2024;104.65
LUX;0;0;2024;107.76
LVA;0;0;2024;52.25
MDA;0;0;2024;18.33
MKD;0;0;2024;15.48
MLT;0;0;2024;22.75
MNE;0;0;2024;8.01
NLD;0;0;2024;1413.08
NOR;0;0;2024;547.69
POL;0;0;2024;1109.96
PRT;0;0;2024;364.53
ROU;0;0;2024;444.81
RUS;0;0;2024;2509.42
SMR;0;0;2024;2.39
SRB;0;0;2024;112.11
SVK;0;0;2024;167.73
SVN;0;0;2024;85.74
SWE;0;0;2024;711.50
TUR;0;0;2024;1576.11
UKR;0;0;2024;224.26
